Time,Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
4:10:32AM,-0.96,0.11,-0.19,1.47,169.54,38.08
4:10:32AM,-0.94,0.17,-0.26,-1.33,174.86,51.94
4:10:32AM,-0.93,0.22,-0.34,-21.91,171.99,61.18
4:10:32AM,-0.93,0.3,-0.41,-45.01,159.11,65.87
4:10:32AM,-0.93,0.38,-0.49,-66.08,140.07,64.05
4:10:32AM,-0.92,0.47,-0.53,-82.6,117.6,49
4:10:32AM,-0.91,0.56,-0.56,-86.87,94.64,23.1
4:10:32AM,-0.9,0.61,-0.59,-85.68,77.28,-6.23
4:10:32AM,-0.83,0.61,-0.56,-80.29,68.32,-29.26
4:10:32AM,-0.76,0.62,-0.56,-72.94,61.6,-49.91
4:10:32AM,-0.69,0.62,-0.54,-73.78,56.77,-70.35
4:10:32AM,-0.61,0.55,-0.48,-75.74,57.4,-88.41
4:10:32AM,-0.59,0.43,-0.47,-72.03,62.16,-89.53
4:10:32AM,-0.65,0.45,-0.49,-73.22,58.87,-83.72
4:10:32AM,-0.65,0.43,-0.51,-74.69,52.78,-74.55
4:10:32AM,-0.63,0.41,-0.53,-70,41.72,-69.65
4:10:32AM,-0.56,0.42,-0.5,-38.57,40.32,-71.82
4:10:32AM,-0.56,0.38,-0.6,-41.79,22.47,-70.21
4:10:32AM,-0.53,0.24,-0.7,-17.71,-5.95,-56.35
4:10:32AM,-0.54,0.18,-0.73,20.51,-27.72,-37.1
4:10:32AM,-0.54,0.23,-0.65,47.67,-30.38,-19.6
4:10:32AM,-0.56,0.34,-0.59,40.46,-10.36,-12.6
4:10:32AM,-0.62,0.29,-0.57,37.24,15.19,-4.55
4:10:32AM,-0.8,0.22,-0.59,61.95,10.92,-13.79
4:10:32AM,-1.26,0.34,-0.49,84.91,-83.16,-72.66
4:10:32AM,-1.48,0.36,-0.24,45.85,-224.91,-143.57
4:10:32AM,-1.09,0.23,-0.09,-19.39,-231.63,-145.39
4:10:32AM,-0.82,-0.02,-0.05,-67.34,-184.03,-96.6
4:10:32AM,-0.63,-0.28,0.33,-30.66,-86.87,-33.46
4:10:32AM,-0.73,-0.06,0.5,-7.28,9.59,-2.8
4:10:32AM,-0.91,0.28,0.13,-20.79,43.33,-1.68
4:10:32AM,-0.95,0.39,-0.36,-16.03,39.9,1.05
4:10:32AM,-0.94,0.43,-0.48,-3.43,19.88,4.27
4:10:32AM,-0.98,0.44,-0.48,14.63,-4.97,3.92
4:10:32AM,-1,0.43,-0.34,27.65,-21.98,4.06
4:10:32AM,-0.96,0.41,-0.19,21.84,-16.52,4.2
4:10:32AM,-0.95,0.41,-0.18,10.92,2.59,-0.56
4:10:32AM,-0.98,0.36,-0.28,2.8,10.01,-7.77
4:10:32AM,-0.98,0.23,-0.36,11.9,7.98,-10.5
4:10:32AM,-0.97,0.2,-0.41,23.94,4.9,-14.07
4:10:32AM,-0.98,0.22,-0.41,30.1,2.52,-19.18
4:10:32AM,-1,0.24,-0.4,34.3,-1.26,-23.38
4:10:32AM,-1.04,0.25,-0.33,36.68,-6.3,-29.68
4:10:32AM,-1.08,0.29,-0.23,37.03,-9.24,-34.65
4:10:32AM,-1.09,0.32,-0.18,32.2,-4.9,-32.97
4:10:32AM,-1.08,0.3,-0.23,28.42,2.59,-27.23
4:10:32AM,-1.07,0.25,-0.33,25.76,10.08,-22.47
4:10:32AM,-1.09,0.19,-0.38,20.72,14.07,-19.74
4:10:32AM,-1.13,0.13,-0.43,15.26,13.37,-20.3
4:10:32AM,-1.19,0.08,-0.47,9.87,9.1,-25.9
4:10:32AM,-1.24,0.01,-0.51,-1.61,1.4,-28.91
4:10:32AM,-1.3,-0.1,-0.52,-11.69,-4.76,-28.42
4:10:32AM,-1.44,-0.13,-0.46,-17.36,-18.13,-27.51
4:10:32AM,-1.57,-0.14,-0.31,-23.73,-26.81,-24.71
4:10:32AM,-1.56,-0.16,-0.14,-14.84,-24.92,-5.74
4:10:32AM,-1.37,0.06,-0.14,18.34,-31.92,4.06
4:10:32AM,-1.21,0.21,-0.1,38.64,-44.45,7.35
4:10:32AM,-1.12,0.31,-0.05,43.05,-51.38,8.47
4:10:32AM,-1.04,0.35,-0.03,33.18,-51.38,9.59
4:10:32AM,-0.97,0.35,-0.04,18.13,-44.1,13.72
4:10:32AM,-0.94,0.32,-0.06,6.86,-39.27,18.41
4:10:32AM,-1,0.31,-0.07,1.12,-35.21,23.1
4:10:32AM,-1.11,0.29,-0.08,-1.89,-36.47,28.91
4:10:32AM,-1.16,0.25,-0.08,-0.42,-43.61,34.93
4:10:32AM,-1.17,0.2,-0.07,5.18,-51.38,42.91
4:10:32AM,-1.15,0.2,-0.04,11.27,-58.73,52.85
4:10:32AM,-1.14,0.26,0.01,10.01,-66.64,62.44
4:10:32AM,-1.15,0.29,0.09,10.08,-74.97,74.62
