.47], 20/1/100 21:39:44
Accel: [0.03, -0.01, 1.02], Gyro: [0.35, 0.00, -0.07], Temp: [24.17, 75.51], 20/1/100 21:39:46
Accel: [0.03, -0.01, 1.02], Gyro: [0.35, -0.70, -0.28], Temp: [24.18, 75.52], 20/1/100 21:39:47
Accel: [0.03, -0.01, 1.02], Gyro: [0.35, -0.28, -0.14], Temp: [24.13, 75.44], 20/1/100 21:39:49
Accel: [0.03, -0.02, 1.02], Gyro: [0.49, -0.28, -0.14], Temp: [24.16, 75.48], 20/1/100 21:39:50
Accel: [0.03, -0.01, 1.02], Gyro: [0.35, -0.21, 0.00], Temp: [24.14, 75.46], 20/1/100 21:39:52
Accel: [0.03, -0.01, 1.02], Gyro: [0.28, -0.14, -0.14], Temp: [24.20, 75.56], 20/1/100 21:39:53
Accel: [0.03, -0.02, 1.02], Gyro: [0.28, -0.35, -0.14], Temp: [24.18, 75.52], 20/1/100 21:39:55
Accel: [0.03, -0.01, 1.02], Gyro: [0.35, -0.56, -0.28], Temp: [24.21, 75.57], 20/1/100 21:39:56
Accel: [0.04, -0.01, 1.02], Gyro: [0.49, -0.35, -0.21], Temp: [24.23, 75.61], 20/1/100 21:39:58
Accel: [0.04, -0.01, 1.02], Gyro: [0.35, 17.64, -0.07], Temp: [24.21, 75.59], 20/1/100 21:39:59
Accel: [0.03, -0.01, 1.02], Gyro: [0.35, -0.56, -0.28], Temp: [24.23, 75.62], 20/1/100 21:40:1
Accel: [0.03, -0.01, 1.02], Gyro: [0.21, -0.07, -0.14], Temp: [24.22, 75.60], 20/1/100 21:40:3
Accel: [0.03, -0.01, 1.03], Gyro: [0.42, 0.14, 0.00], Temp: [24.21, 75.57], 20/1/100 21:40:4
Accel: [0.03, -0.01, 1.02], Gyro: [0.21, 0.14, -0.07], Temp: [24.23, 75.61], 20/1/100 21:40:5
Accel: [0.03, -0.02, 1.02], Gyro: [0.21, -0.42, -0.14], Temp: [24.25, 75.65], 20/1/100 21:40:7
Accel: [0.03, -0.02, 1.02], Gyro: [0.35, -0.35, -0.21], Temp: [24.24, 75.64], 20/1/100 21:40:8
Accel: [0.03, -0.02, 1.02], Gyro: [0.28, -0.07, -0.35], Temp: [24.29, 75.72], 20/1/100 21:40:10
Accel: [0.03, -0.02, 1.02], Gyro: [0.49, -0.42, -0.28], Temp: [24.25, 75.66], 20/1/100 21:40:12
Accel: [0.03, -0.02, 1.03], Gyro: [0.35, -0.35, -0.21], Temp: [24.22, 75.60], 20/1/100 21:40:13
Accel: [0.03, -0.02, 1.02], Gyro: [0.28, -0.49, -0.28], Temp: [24.24, 75.63], 20/1/100 21:40:14
Accel: [0.03, -0.01, 1.02], Gyro: [0.42, -0.42, -0.28], Temp: [24.24, 75.64], 20/1/100 21:40:16
Accel: [0.03, -0.01, 1.02], Gyro: [0.42, -0.14, -0.07], Temp: [24.25, 75.64], 20/1/100 21:40:18
Accel: [0.03, -0.02, 1.02], Gyro: [0.35, 0.35, -0.07], Temp: [24.29, 75.72], 20/1/100 21:40:19
Accel: [0.03, -0.02, 1.02], Gyro: [0.28, 0.07, -0.28], Temp: [24.27, 75.68], 20/1/100 21:40:21
