Time,Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
4:10:12,-0.85,0.21,-0.23,10.99,-8.47,-3.22
4:10:12,-0.87,0.23,-0.22,12.74,-9.66,-4.76
4:10:12,-0.85,0.23,-0.21,17.85,-12.25,-7.42
4:10:12,-0.8,0.22,-0.19,23.87,-14.77,-8.05
4:10:12,-0.75,0.23,-0.18,26.74,-16.45,-4.83
4:10:12,-0.74,0.26,-0.2,24.92,-18.9,1.26
4:10:12,-0.78,0.3,-0.22,18.55,-22.26,7.84
4:10:12,-0.81,0.33,-0.24,15.26,-25.69,12.04
4:10:12,-0.78,0.37,-0.23,16.31,-25.41,10.22
4:10:12,-0.71,0.38,-0.21,18.83,-24.85,8.19
4:10:12,-0.63,0.36,-0.2,21.77,-23.8,13.72
4:10:12,-0.59,0.38,-0.19,14.91,-22.33,22.33
4:10:12,-0.61,0.41,-0.22,4.55,-19.81,27.23
4:10:12,-0.68,0.43,-0.26,-4.55,-18.27,24.36
4:10:12,-0.77,0.44,-0.32,-9.1,-19.74,17.57
4:10:12,-0.8,0.45,-0.33,-11.34,-22.54,9.94
4:10:12,-0.75,0.45,-0.31,-13.44,-23.24,6.23
4:10:12,-0.66,0.4,-0.29,-12.25,-24.43,15.54
4:10:12,-0.62,0.38,-0.28,-1.33,-30.38,32.97
4:10:12,-0.61,0.42,-0.28,11.06,-38.85,49.49
4:10:12,-0.68,0.49,-0.26,21.21,-43.82,55.3
4:10:12,-0.75,0.49,-0.25,30.52,-43.19,53.55
4:10:12,-0.84,0.49,-0.26,42.56,-47.53,50.19
4:10:12,-0.9,0.45,-0.26,69.93,-62.86,53.69
4:10:12,-0.94,0.42,-0.23,101.22,-82.88,75.74
4:10:12,-0.98,0.46,-0.21,124.74,-102.2,110.39
4:10:12,-0.99,0.59,-0.17,122.43,-116.2,145.18
4:10:12,-1.09,0.73,-0.05,94.22,-135.73,165.2
4:10:12,-1.28,0.95,0.19,18.83,-178.15,143.5
4:10:12,-1.17,1,0.51,-59.22,-173.18,147.21
4:10:12,-1.08,1.04,0.7,-71.19,-90.93,124.6
4:10:12,-1.15,1.2,0.31,-80.64,-3.43,98.49
4:10:12,-1.21,1.05,-0.14,-118.16,-21.77,91.07
4:10:12,-1.22,0.78,-0.3,-123.2,-44.38,98.77
4:10:12,-1.26,0.6,-0.26,-102.41,-53.34,111.65
4:10:12,-1.41,0.59,-0.15,-78.05,-49.28,117.11
4:10:12,-1.55,0.56,-0.09,-75.18,-37.94,110.04
4:10:12,-1.65,0.4,-0.16,-63.42,-33.74,91.98
4:10:12,-1.62,0.23,-0.26,-38.64,-32.9,65.1
4:10:12,-1.42,0.1,-0.25,-17.08,-28,42.42
4:10:12,-1.19,0.01,-0.19,-4.97,-24.43,29.82
4:10:12,-0.99,-0.05,-0.08,0.91,-17.01,21.91
4:10:12,-0.8,-0.05,-0.1,4.48,-8.54,31.36
4:10:12,-0.77,0.25,-0.14,11.13,-2.52,38.57
4:10:12,-0.83,0.61,-0.13,12.46,-1.54,36.68
4:10:12,-0.9,0.83,0.02,9.24,-2.17,32.2
4:10:12,-0.96,0.93,0.15,8.19,-1.12,16.94
4:10:12,-0.87,0.78,0.22,-3.99,-0.07,5.53
4:10:12,-0.75,0.52,0.17,-21.35,5.32,-3.5
4:10:12,-0.69,0.38,0.09,-25.41,10.36,-7.56
4:10:12,-0.66,0.35,0.04,-21.49,15.96,-13.09
4:10:12,-0.65,0.36,0.07,-15.61,25.41,-18.55
4:10:12,-0.65,0.38,0.1,-15.26,31.64,-22.68
4:10:12,-0.69,0.4,0.13,-19.81,33.53,-23.73
4:10:12,-0.7,0.43,0.15,-25.48,36.47,-22.05
4:10:12,-0.75,0.43,0.13,-28.49,37.38,-21.14
4:10:12,-0.78,0.42,0.11,-29.68,37.17,-18.76
4:10:12,-0.81,0.43,0.08,-29.96,37.24,-17.57
4:10:12,-0.86,0.43,0.06,-29.68,34.86,-17.71
4:10:12,-0.88,0.39,0.03,-24.36,30.31,-17.71
4:10:12,-0.88,0.34,0.02,-13.65,24.43,-17.36
4:10:12,-0.86,0.27,0.02,-1.61,18.9,-18.9
4:10:12,-0.82,0.23,0.04,7.77,15.89,-21.35
4:10:12,-0.79,0.2,0.03,19.88,13.16,-24.85
4:10:12,-0.77,0.19,0.02,30.87,13.3,-28.49
4:10:12,-0.75,0.22,0.01,41.58,13.93,-31.5
4:10:12,-0.73,0.28,0.02,45.57,15.82,-35.77
4:10:12,-0.72,0.36,0.03,42.28,18.34,-38.01
4:10:12,-0.72,0.44,0.02,37.03,19.53,-37.8
4:10:12,-0.73,0.51,0.04,25.97,20.23,-36.68
4:10:12,-0.74,0.54,0.05,17.29,20.02,-36.82
4:10:12,-0.75,0.54,0.05,12.53,20.37,-38.99
4:10:12,-0.77,0.54,0.07,10.08,18.69,-41.16
4:10:12,-0.77,0.52,0.1,6.58,19.18,-44.38
4:10:12,-0.77,0.5,0.11,-1.47,21.56,-47.67
4:10:12,-0.77,0.48,0.09,-16.1,24.01,-49.98
4:10:12,-0.77,0.46,0.06,-34.23,26.39,-52.15
4:10:12,-0.77,0.42,0.01,-51.52,29.33,-52.57
4:10:12,-0.77,0.4,-0.03,-54.25,33.67,-54.6
4:10:12,-0.77,0.39,-0.07,-48.58,36.75,-55.44
4:10:12,-0.76,0.4,-0.08,-44.45,38.71,-56
4:10:12,-0.74,0.4,-0.09,-40.32,39.13,-55.16
4:10:12,-0.74,0.4,-0.1,-34.02,40.6,-50.05
4:10:12,-0.76,0.48,-0.13,-29.68,42.84,-48.3
4:10:12,-0.76,0.48,-0.14,-27.58,45.43,-48.65
4:10:12,-0.77,0.43,-0.12,-21.35,46.2,-43.82
4:10:12,-0.77,0.44,-0.08,-7.21,48.02,-44.38
4:10:12,-0.75,0.4,-0.03,1.33,51.66,-40.46
4:10:12,-0.74,0.37,0.01,16.59,53.41,-38.15
4:10:12,-0.79,0.36,0.07,24.15,48.02,-34.93
4:10:12,-0.81,0.37,0.15,17.22,41.51,-34.58
4:10:12,-0.81,0.33,0.21,7.35,35.7,-29.12
4:10:12,-0.77,0.4,0.21,2.31,35.56,-29.4
4:10:12,-0.76,0.42,0.19,-1.75,39.06,-33.18
4:10:12,-0.74,0.41,0.16,-4.97,40.95,-29.54
4:10:12,-0.72,0.42,0.15,-5.95,40.32,-25.9
4:10:12,-0.73,0.42,0.12,0.28,36.54,-24.85
4:10:12,-0.72,0.4,0.1,-0.84,28.35,-16.52
4:10:12,-0.72,0.4,0.07,2.59,27.58,-6.72
4:10:12,-0.77,0.44,-0.03,8.47,43.33,3.71
4:10:12,-0.91,0.47,-0.22,10.99,47.88,10.85
4:10:12,-1.11,0.43,-0.35,23.03,42.07,23.45
4:10:12,-1.34,0.43,-0.38,52.08,42.7,40.11
4:10:12,-1.6,0.52,-0.38,84.42,48.65,45.85
4:10:12,-1.91,0.61,-0.36,108.36,21.14,40.53
4:10:12,-2.13,0.69,0.03,102.97,-55.65,47.25
4:10:12,-1.93,0.69,0.38,77.84,-65.87,36.61
4:10:12,-1.24,0.49,0.01,41.79,-43.89,40.81
4:10:12,-0.97,0.41,-0.22,25.97,-20.02,44.45
4:10:12,-0.86,0.36,-0.33,17.78,-4.41,34.72
4:10:12,-0.78,0.29,-0.39,6.23,-9.45,34.51
4:10:12,-0.93,0.3,-0.47,-22.33,-32.27,51.03
4:10:12,-1.12,0.37,-0.49,-40.46,-38.36,61.32
4:10:12,-1.24,0.48,-0.51,-32.62,-25.83,51.24
4:10:12,-1.16,0.53,-0.48,4.13,-0.21,28.28
4:10:12,-0.95,0.49,-0.42,10.64,17.57,18.06
4:10:12,-0.82,0.44,-0.39,-0.77,20.37,17.29
4:10:12,-0.76,0.44,-0.34,-14.91,18.27,20.79
4:10:12,-0.82,0.46,-0.34,-20.23,19.18,26.6
4:10:12,-0.94,0.49,-0.35,-12.74,24.99,33.88
4:10:12,-1.05,0.56,-0.37,0.56,31.57,36.33
4:10:12,-1.1,0.59,-0.36,19.25,36.05,29.05
4:10:12,-1.08,0.54,-0.34,46.62,34.65,16.31
4:10:12,-1.01,0.44,-0.3,67.83,22.61,9.1
4:10:12,-0.99,0.38,-0.25,72.59,9.38,6.51
4:10:12,-1.02,0.31,-0.23,67.27,-1.82,7.07
4:10:12,-1.07,0.28,-0.24,62.16,-11.76,9.31
4:10:12,-1.1,0.31,-0.24,53.76,-19.74,7.49
4:10:12,-1.06,0.34,-0.2,41.09,-18.34,-0.49
4:10:12,-0.97,0.34,-0.17,24.43,-5.95,-9.8
4:10:12,-0.89,0.33,-0.2,2.17,4.69,-15.89
4:10:12,-0.84,0.32,-0.24,-21.84,7.63,-17.5
4:10:12,-0.82,0.35,-0.27,-41.23,7.35,-19.6
4:10:12,-0.81,0.41,-0.29,-51.17,11.9,-23.03
4:10:12,-0.81,0.44,-0.33,-56.7,25.55,-24.36
