Time,Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
4:10:32,0.08,0.88,0.41,-4.69,4.76,4.76
4:10:32,0.08,0.88,0.41,-3.85,3.92,3.36
4:10:32,0.07,0.88,0.41,-2.31,3.22,2.03
4:10:32,0.07,0.89,0.41,-1.19,2.66,0.63
4:10:32,0.06,0.9,0.41,-0.63,1.26,-0.07
4:10:32,0.05,0.9,0.4,-0.7,-0.07,-0.7
4:10:32,0.06,0.9,0.4,-0.84,-0.63,-0.91
4:10:32,0.06,0.9,0.4,-0.77,-0.91,-1.33
4:10:32,0.07,0.91,0.4,-0.7,-1.4,-1.19
4:10:32,0.07,0.91,0.39,-0.77,-1.33,-1.4
4:10:32,0.08,0.92,0.39,-0.98,-1.33,-1.96
4:10:32,0.08,0.93,0.38,-1.05,-1.68,-2.45
4:10:32,0.09,0.94,0.37,-2.31,-1.89,-3.15
4:10:32,0.09,0.94,0.36,-2.45,-2.52,-3.85
4:10:32,0.09,0.94,0.36,-2.31,-2.38,-4.06
4:10:32,0.09,0.95,0.36,-3.15,-2.31,-4.27
4:10:32,0.09,0.95,0.36,-4.48,-2.17,-4.41
4:10:32,0.1,0.94,0.36,-5.74,-1.68,-4.13
4:10:32,0.09,0.94,0.36,-6.37,-1.47,-4.27
4:10:32,0.09,0.95,0.38,-7.07,-0.7,-4.27
4:10:32,0.08,0.93,0.37,-8.33,-0.7,-4.41
4:10:32,0.08,0.93,0.38,-8.61,-1.05,-4.48
4:10:32,0.08,0.93,0.39,-9.31,-0.28,-4.83
4:10:32,0.07,0.92,0.38,-9.17,-1.05,-5.18
4:10:32,0.07,0.91,0.39,-9.52,-1.4,-4.97
4:10:32,0.07,0.9,0.4,-9.45,-1.4,-4.97
4:10:32,0.06,0.92,0.41,-11.9,-1.19,-4.83
4:10:32,0.05,0.88,0.41,-9.03,-2.17,-4.2
4:10:32,0.07,0.89,0.42,-7.28,-1.19,-4.2
4:10:32,0.06,0.9,0.42,-6.37,-1.12,-3.5
4:10:32,0.06,0.9,0.42,-5.46,-1.47,-2.66
4:10:32,0.05,0.89,0.41,-3.92,-1.26,-3.08
4:10:32,0.06,0.9,0.41,-2.73,-1.4,-2.66
4:10:32,0.05,0.9,0.41,-2.66,-1.82,-2.31
4:10:32,0.06,0.92,0.42,-2.8,-1.26,-1.96
4:10:32,0.06,0.91,0.41,-1.4,-1.33,-1.61
4:10:32,0.06,0.91,0.41,-0.42,-1.19,-1.54
4:10:32,0.06,0.91,0.41,-0.56,-1.47,-1.47
4:10:32,0.06,0.91,0.42,-0.7,-2.1,-1.54
4:10:32,0.06,0.91,0.42,-0.63,-2.03,-1.75
4:10:32,0.06,0.9,0.42,-0.7,-2.45,-2.24
4:10:32,0.06,0.9,0.42,-0.63,-3.57,-2.8
4:10:32,0.06,0.89,0.41,-0.63,-4.9,-4.06
4:10:32,0.05,0.88,0.43,-0.98,-5.81,-5.46
4:10:32,0.04,0.87,0.44,-1.68,-6.79,-7.84
4:10:32,0.04,0.86,0.46,-3.5,-8.4,-9.87
4:10:32,0.05,0.85,0.46,-2.03,-8.82,-10.85
4:10:32,0.05,0.87,0.44,-2.17,-8.26,-11.41
4:10:32,0.04,0.87,0.42,2.03,-8.33,-9.94
4:10:32,0.05,0.9,0.41,6.23,-7.07,-8.12
4:10:32,0.05,0.94,0.4,7.7,-5.18,-5.81
4:10:32,0.04,0.97,0.38,7.84,-4.13,-2.45
4:10:32,0.04,0.99,0.38,8.82,-3.5,0.91
4:10:32,0.05,1.01,0.37,8.75,-1.75,3.57
4:10:32,0.06,1.01,0.36,8.4,-0.14,6.09
4:10:32,0.08,1.01,0.35,7.56,1.89,8.12
4:10:32,0.09,1,0.34,6.51,3.36,9.38
4:10:32,0.1,0.99,0.33,5.39,4.69,10.43
4:10:32,0.1,0.98,0.34,1.68,6.23,11.27
4:10:32,0.09,0.96,0.35,-1.26,7.49,10.85
4:10:32,0.09,0.95,0.36,-3.29,7.63,10.08
4:10:32,0.08,0.93,0.39,-4.55,7.14,9.1
4:10:32,0.07,0.92,0.4,-5.32,6.51,7.56
4:10:32,0.07,0.9,0.42,-5.67,5.67,5.88
4:10:32,0.06,0.89,0.43,-5.53,4.76,4.62
4:10:32,0.04,0.88,0.43,-4.76,3.71,2.66
4:10:32,0.04,0.88,0.43,-3.71,2.24,1.75
4:10:32,0.04,0.88,0.43,-2.73,1.12,0.98
4:10:32,0.05,0.89,0.43,-1.82,0.28,0.63
4:10:32,0.05,0.89,0.43,-0.7,-0.84,0.35
4:10:32,0.06,0.9,0.42,0.77,-0.77,0.28
4:10:32,0.06,0.91,0.4,1.61,-0.63,0.98
4:10:32,0.07,0.92,0.4,1.82,-0.35,1.05
4:10:32,0.07,0.93,0.39,1.61,0.28,1.75
4:10:32,0.08,0.94,0.39,1.26,0.7,2.24
4:10:32,0.08,0.94,0.38,0.91,0.91,2.24
4:10:32,0.07,0.94,0.38,0.35,1.19,2.31
4:10:32,0.08,0.94,0.38,-0.35,0.91,2.31
4:10:32,0.07,0.93,0.39,-0.98,1.33,2.66
4:10:32,0.07,0.92,0.4,-1.47,1.75,2.45
4:10:32,0.07,0.92,0.41,-1.68,2.31,2.52
4:10:32,0.07,0.91,0.41,-1.61,2.94,2.66
4:10:32,0.06,0.91,0.4,-0.91,2.8,2.8
4:10:32,0.06,0.91,0.41,-0.42,2.52,2.52
4:10:32,0.06,0.91,0.41,-0.28,2.31,2.8
4:10:32,0.06,0.9,0.41,-0.07,1.96,2.45
4:10:32,0.06,0.9,0.41,0.21,1.68,2.24
4:10:32,0.06,0.9,0.41,0.77,1.33,2.1
4:10:32,0.06,0.9,0.41,1.4,1.47,1.75
4:10:32,0.07,0.9,0.41,1.96,1.33,1.75
4:10:32,0.07,0.91,0.4,2.17,1.26,1.12
4:10:32,0.07,0.91,0.4,2.52,1.19,1.05
4:10:32,0.07,0.91,0.4,2.94,0.98,1.05
4:10:32,0.07,0.91,0.4,3.29,1.05,1.61
4:10:32,0.07,0.92,0.4,3.5,1.68,1.4
4:10:32,0.07,0.92,0.4,3.71,1.96,1.75
4:10:32,0.07,0.92,0.39,3.99,1.82,2.45
4:10:32,0.07,0.92,0.39,3.85,2.24,2.8
4:10:32,0.07,0.92,0.39,3.85,2.66,3.15
4:10:32,0.07,0.93,0.39,3.57,3.08,3.85
4:10:32,0.07,0.93,0.39,3.43,3.22,4.34
4:10:32,0.07,0.93,0.39,3.22,3.57,4.83
4:10:32,0.07,0.93,0.39,3.22,3.92,5.25
4:10:32,0.07,0.93,0.39,2.94,4.27,5.11
4:10:32,0.07,0.93,0.39,2.52,4.13,5.11
4:10:32,0.07,0.93,0.39,2.31,3.99,5.04
4:10:32,0.07,0.93,0.39,1.96,3.71,4.55
4:10:32,0.07,0.93,0.39,1.61,3.43,4.76
4:10:32,0.07,0.92,0.39,1.19,3.08,4.27
4:10:32,0.07,0.92,0.39,0.77,2.87,4.06
4:10:32,0.07,0.92,0.39,0.35,2.73,3.99
4:10:32,0.07,0.93,0.39,-0.28,2.8,3.57
4:10:32,0.08,0.92,0.39,-0.84,3.08,3.57
4:10:32,0.08,0.92,0.39,-0.98,2.52,2.94
4:10:32,0.08,0.92,0.39,-0.91,2.1,3.15
4:10:32,0.08,0.92,0.39,-0.98,1.61,2.1
4:10:32,0.08,0.92,0.4,-0.98,1.47,2.1
4:10:32,0.08,0.92,0.41,-0.98,1.89,2.03
4:10:32,0.08,0.92,0.41,-0.98,2.17,1.68
4:10:32,0.07,0.93,0.41,-0.56,2.38,1.26
4:10:32,0.06,0.93,0.4,-0.21,1.61,0.84
4:10:32,0.06,0.93,0.39,0.14,0.98,0.77
4:10:32,0.06,0.92,0.39,0.56,0.21,0.91
4:10:32,0.06,0.92,0.39,0.7,-0.56,0.91
4:10:32,0.07,0.91,0.39,0.49,-1.05,1.12
4:10:32,0.07,0.91,0.4,0.14,-0.98,0.98
4:10:32,0.08,0.91,0.4,0.21,-0.77,1.82
4:10:32,0.08,0.91,0.4,0,17.71,1.26
4:10:32,0.09,0.91,0.4,-0.14,0.7,1.33
4:10:32,0.08,0.92,0.39,0,0.91,1.61
4:10:32,0.08,0.92,0.38,0.07,1.47,1.33
4:10:32,0.08,0.92,0.38,-0.07,0.56,0.56
4:10:32,0.08,0.92,0.38,-0.21,-0.14,0.63
4:10:32,0.08,0.92,0.39,-0.49,-0.14,0.28
4:10:32,0.08,0.92,0.4,-0.28,-0.21,0.14
4:10:32,0.08,0.91,0.39,0.21,-0.07,0.21
4:10:32,0.08,0.91,0.39,0.7,0.14,0
4:10:32,0.08,0.91,0.39,1.19,0.42,-0.42
4:10:32,0.08,0.92,0.39,1.19,0.56,0.21
4:10:32,0.07,0.92,0.39,0.84,0.7,0.07
4:10:32,0.07,0.92,0.39,0.28,0.77,0.35
4:10:32,0.07,0.93,0.39,-0.21,0.84,0.7
4:10:32,0.08,0.93,0.38,-0.49,1.33,0.98
4:10:32,0.07,0.93,0.38,-0.42,1.19,1.54
4:10:32,0.07,0.93,0.38,-0.35,0.84,1.96
4:10:32,0.07,0.92,0.38,-0.63,1.19,2.38
4:10:32,0.08,0.93,0.39,-1.12,1.54,3.08
4:10:32,0.08,0.93,0.39,-1.54,2.03,3.36
4:10:32,0.08,0.93,0.39,-1.68,2.38,3.64
4:10:32,0.08,0.93,0.39,-1.75,2.45,3.64
4:10:32,0.08,0.93,0.38,-1.96,1.96,3.15
4:10:32,0.08,0.93,0.38,-2.59,1.89,3.64
4:10:32,0.08,0.93,0.39,-3.57,1.89,3.08
4:10:32,0.08,0.93,0.39,-4.34,2.1,3.5
4:10:32,0.08,0.93,0.39,-4.76,2.59,3.92
4:10:32,0.08,0.93,0.39,-4.9,2.66,3.78
4:10:32,0.08,0.93,0.39,-4.9,2.8,3.85
4:10:32,0.08,0.93,0.39,-4.69,2.73,3.78
4:10:32,0.09,0.93,0.4,-4.9,3.08,3.64
4:10:32,0.09,0.93,0.4,-5.04,3.43,3.15
4:10:32,0.08,0.93,0.4,-5.11,3.43,2.94
4:10:32,0.08,0.92,0.4,-4.97,3.57,2.8
4:10:32,0.09,0.93,0.41,-5.6,3.71,2.03
4:10:32,0.08,0.92,0.41,-5.11,3.64,2.03
4:10:32,0.08,0.91,0.41,-4.48,3.43,2.03
4:10:32,0.08,0.9,0.41,-3.57,2.8,1.96
4:10:32,0.08,0.9,0.42,-3.01,2.38,1.4
4:10:32,0.08,0.89,0.42,-2.31,2.17,1.12
4:10:32,0.08,0.89,0.42,-1.68,1.96,0.63
4:10:32,0.08,0.89,0.43,-0.77,1.82,0.07
4:10:32,0.07,0.88,0.43,0.14,1.68,0.21
4:10:32,0.07,0.89,0.42,1.12,1.19,-0.21
4:10:32,0.06,0.89,0.42,1.82,0.56,-0.21
4:10:32,0.06,0.89,0.42,2.38,0.56,-0.21
4:10:32,0.07,0.89,0.42,3.01,-0.07,-0.07
4:10:32,0.07,0.9,0.42,3.85,0.07,0.77
4:10:32,0.07,0.9,0.41,4.41,0.42,0.77
4:10:32,0.07,0.91,0.41,4.9,0.56,1.12
4:10:32,0.07,0.92,0.4,5.11,0.56,1.47
4:10:32,0.08,0.92,0.39,5.18,0.7,1.82
4:10:32,0.08,0.92,0.39,4.83,0.98,2.66
4:10:32,0.08,0.93,0.39,4.83,1.61,2.8
4:10:32,0.08,0.93,0.39,4.69,2.24,3.22
4:10:32,0.08,0.93,0.39,4.97,2.66,4.34
4:10:32,0.08,0.93,0.39,5.11,3.08,4.34
4:10:32,0.08,0.93,0.39,5.39,3.78,5.39
4:10:32,0.08,0.93,0.39,5.81,4.13,5.6
4:10:32,0.08,0.93,0.39,5.39,3.71,6.16
4:10:32,0.08,0.92,0.39,4.76,3.92,6.3
4:10:32,0.08,0.92,0.39,4.41,3.99,6.3
4:10:32,0.08,0.92,0.39,3.85,3.92,6.02
4:10:32,0.08,0.92,0.4,3.36,3.57,6.09
4:10:32,0.09,0.91,0.4,3.08,3.5,5.88
4:10:32,0.09,0.91,0.39,3.5,3.15,5.46
4:10:32,0.08,0.91,0.39,3.15,2.52,4.83
4:10:32,0.09,0.91,0.4,2.87,2.17,3.92
4:10:32,0.09,0.91,0.4,2.8,1.68,3.64
4:10:32,0.09,0.91,0.4,2.87,1.4,2.73
4:10:32,0.1,0.92,0.39,3.15,1.05,1.75
4:10:32,0.1,0.92,0.39,3.57,0.7,1.4
