Time,Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
4:10:27,-0.98,0.13,-0.2,-0.98,1.05,0.49
4:10:27,-0.97,0.13,-0.2,-0.77,0.84,0.35
4:10:42,-0.99,0.08,-0.17,-0.7,1.12,1.05
4:10:42,-0.98,0.08,-0.17,-0.84,1.26,0.56
4:10:42,-0.98,0.08,-0.17,-0.98,1.19,1.12
4:10:42,-0.99,0.08,-0.17,-1.19,1.47,0.84
4:10:42,-0.99,0.08,-0.17,-1.82,1.96,0.77
4:10:42,-0.99,0.08,-0.17,-2.1,1.82,0.63
4:10:42,-0.99,0.08,-0.17,-1.54,1.89,1.19
4:10:42,-0.99,0.08,-0.17,-0.35,1.68,1.61
4:10:42,-0.99,0.08,-0.17,0.28,1.96,1.05
4:10:42,-0.99,0.08,-0.18,0.49,2.31,1.61
4:10:42,-0.99,0.07,-0.18,0.56,1.89,1.12
4:10:42,-0.99,0.08,-0.18,0.56,1.47,2.03
4:10:42,-0.99,0.08,-0.17,0.63,1.33,2.31
4:10:42,-0.99,0.08,-0.17,0.49,1.33,2.03
4:10:42,-0.99,0.08,-0.17,0.56,0.98,2.17
4:10:42,-1,0.08,-0.17,0.77,0.84,1.96
4:10:42,-0.99,0.07,-0.17,1.54,0.7,3.08
4:10:42,-0.99,0.08,-0.17,2.38,0.63,3.29
4:10:42,-0.98,0.08,-0.17,2.66,1.19,3.36
4:10:42,-0.99,0.08,-0.17,2.52,1.19,3.22
4:10:42,-0.99,0.08,-0.17,2.24,0.49,3.43
4:10:42,-0.99,0.08,-0.17,2.59,0.7,3.01
4:10:42,-0.99,0.08,-0.17,2.8,0.42,3.01
4:10:42,-0.98,0.08,-0.17,3.64,-0.14,2.94
4:10:42,-0.98,0.08,-0.17,4.06,-0.35,2.87
4:10:42,-0.98,0.08,-0.17,4.48,-0.35,2.8
4:10:42,-0.98,0.08,-0.18,4.9,0,2.52
4:10:42,-0.99,0.09,-0.18,4.62,0.07,2.24
4:10:42,-0.99,0.09,-0.18,3.71,0.42,1.89
4:10:42,-0.99,0.09,-0.17,2.8,0.63,1.33
4:10:42,-0.99,0.1,-0.17,2.1,0.63,1.26
4:10:42,-0.99,0.11,-0.16,1.54,1.12,1.12
4:10:42,-0.99,0.12,-0.16,1.68,0.63,1.61
4:10:42,-0.99,0.13,-0.15,2.17,0.63,1.54
4:10:42,-0.99,0.12,-0.15,2.8,0.35,1.75
4:10:42,-0.99,0.12,-0.16,2.66,0.21,1.4
4:10:42,-0.99,0.11,-0.16,1.47,0,0.91
4:10:42,-0.99,0.11,-0.16,0.98,-0.21,1.12
4:10:42,-0.98,0.12,-0.16,0.63,0.14,1.05
4:10:42,-0.98,0.11,-0.16,0.21,0.84,1.19
4:10:42,-0.98,0.11,-0.16,0.07,0.91,1.26
4:10:42,-0.99,0.1,-0.16,0.07,0.91,0.98
4:10:42,-0.98,0.1,-0.17,-0.07,1.05,1.05
4:10:42,-0.98,0.1,-0.17,-0.28,1.26,0.98
4:10:42,-0.98,0.09,-0.17,-0.77,1.47,0.63
4:10:42,-0.99,0.09,-0.17,-0.63,1.96,0.98
4:10:42,-0.99,0.09,-0.17,-1.05,1.26,0.77
4:10:42,-0.99,0.09,-0.17,-1.26,1.12,0.28
4:10:42,-0.99,0.09,-0.17,-1.47,1.19,0.35
4:10:42,-0.99,0.09,-0.17,-1.4,1.26,0.21
4:10:42,-0.99,0.09,-0.17,-1.89,1.12,0.21
4:10:42,-0.99,0.09,-0.17,-2.38,1.54,0.28
4:10:42,-0.99,0.09,-0.16,-2.38,1.05,-0.07
4:10:42,-0.99,0.09,-0.17,-2.24,1.26,0.21
4:10:42,-0.99,0.09,-0.17,-1.68,0.91,0.42
4:10:42,-0.99,0.09,-0.17,-0.98,0.98,0.98
4:10:42,-0.99,0.09,-0.17,-0.49,0.49,0.84
4:10:42,-0.99,0.09,-0.17,-0.21,-0.21,0.77
4:10:42,-0.99,0.08,-0.17,-0.35,0.28,0.91
4:10:42,-0.99,0.09,-0.17,-0.35,0.21,0.28
4:10:42,-0.99,0.09,-0.17,-0.7,0.7,0.42
4:10:42,-0.98,0.1,-0.17,-1.33,0.63,0.21
4:10:42,-0.98,0.1,-0.16,-1.4,1.26,-0.14
4:10:42,-0.99,0.1,-0.16,-1.4,1.26,-0.42
4:10:42,-0.98,0.1,-0.16,-0.91,1.12,-0.07
4:10:42,-0.98,0.1,-0.16,-0.21,0.91,0.07
4:10:42,-0.98,0.1,-0.17,0.42,0.56,0
4:10:42,-0.98,0.1,-0.17,0.49,0.77,-0.07
4:10:42,-0.99,0.09,-0.17,-0.07,1.12,0.35
4:10:42,-0.99,0.09,-0.17,-0.7,1.68,0.14
4:10:42,-0.99,0.09,-0.17,-1.19,1.89,0.28
4:10:42,-0.99,0.09,-0.17,-1.61,0.91,0.14
4:10:42,-1,0.1,-0.17,-1.75,1.33,0.14
4:10:42,-0.99,0.09,-0.17,-1.47,1.26,0.07
4:10:42,-0.99,0.09,-0.17,-0.7,0.77,0.42
4:10:42,-0.98,0.09,-0.17,-0.56,1.05,0.49
4:10:42,-0.98,0.1,-0.17,-0.84,1.05,0.56
4:10:42,-0.99,0.09,-0.17,-1.82,1.26,0.14
4:10:42,-0.99,0.09,-0.17,-2.8,1.4,0.14
4:10:42,-0.99,0.09,-0.16,-2.87,0.84,-0.07
4:10:42,-0.98,0.09,-0.16,-2.1,0.7,0.21
4:10:42,-0.98,0.09,-0.17,-1.26,0.28,0.28
4:10:42,-0.98,0.09,-0.17,-0.84,0.98,0
4:10:42,-0.98,0.09,-0.18,-1.26,1.26,0.49
4:10:42,-0.98,0.09,-0.17,-2.24,1.89,0.49
4:10:42,-0.98,0.09,-0.17,-2.66,1.89,0.35
4:10:42,-0.99,0.08,-0.16,-2.87,2.45,0.49
4:10:42,-0.99,0.08,-0.16,-2.38,1.82,0.28
4:10:42,-0.99,0.08,-0.17,-1.54,1.4,0.35
4:10:42,-0.99,0.08,-0.17,-0.77,1.47,0.7
4:10:42,-0.99,0.08,-0.17,-0.28,1.54,0.63
4:10:42,-0.99,0.08,-0.18,-0.42,1.61,0.35
4:10:42,-0.99,0.08,-0.17,-0.7,1.33,0.49
4:10:42,-0.99,0.08,-0.17,-0.07,0.98,0.7
4:10:42,-0.98,0.08,-0.17,0.91,0.56,0.91
4:10:42,-0.98,0.08,-0.17,1.4,0.91,0.91
4:10:42,-0.98,0.08,-0.17,0.77,1.05,0.42
4:10:42,-0.99,0.08,-0.18,-0.14,0.98,0.56
4:10:42,-0.99,0.08,-0.17,-1.05,1.33,0.35
4:10:42,-0.99,0.09,-0.17,-1.19,1.4,0.49
4:10:42,-0.99,0.08,-0.17,-0.7,0.98,0.42
4:10:42,-0.98,0.08,-0.17,0.14,1.05,0.49
4:10:42,-0.99,0.08,-0.17,0.84,0.91,1.05
4:10:42,-0.99,0.08,-0.17,1.12,0.98,0.63
4:10:42,-0.99,0.09,-0.17,1.05,0.77,1.05
4:10:42,-0.98,0.09,-0.17,0.84,0.84,0.77
4:10:42,-0.98,0.09,-0.17,1.05,1.12,0.7
4:10:42,-0.99,0.1,-0.16,1.33,0.91,1.19
4:10:42,-0.99,0.1,-0.17,1.33,1.12,0.77
4:10:42,-0.99,0.1,-0.17,0.91,1.33,0.77
4:10:42,-0.99,0.1,-0.17,0.28,1.47,0.98
4:10:42,-0.99,0.09,-0.17,-0.21,1.68,0.84
4:10:42,-0.98,0.09,-0.17,-0.07,1.19,1.26
4:10:42,-0.98,0.1,-0.17,0.07,1.4,1.05
4:10:42,-0.98,0.1,-0.17,0,1.12,1.19
4:10:42,-0.99,0.09,-0.17,-0.63,1.19,0.42
4:10:42,-0.99,0.09,-0.17,-1.26,1.61,0.49
4:10:42,-0.99,0.09,-0.17,-1.68,1.47,0.7
4:10:42,-0.99,0.1,-0.17,-2.03,1.19,0.7
4:10:42,-0.98,0.1,-0.16,-1.89,1.4,0.63
4:10:42,-0.99,0.1,-0.17,-1.68,1.12,0.56
4:10:42,-0.99,0.1,-0.17,-1.54,1.47,0.63
4:10:42,-0.99,0.09,-0.17,-1.54,1.4,0.7
4:10:42,-0.98,0.09,-0.17,-1.75,1.19,0.63
4:10:42,-0.99,0.09,-0.17,-1.82,1.26,0.7
4:10:42,-0.99,0.08,-0.17,-1.26,1.33,0.91
4:10:42,-0.99,0.08,-0.17,-0.91,1.4,0.91
4:10:42,-0.99,0.08,-0.17,-0.98,1.54,1.19
4:10:42,-0.99,0.08,-0.17,-1.19,1.26,0.98
4:10:42,-0.99,0.08,-0.17,-1.26,1.75,1.26
4:10:42,-0.99,0.08,-0.17,-1.4,1.4,0.84
4:10:42,-0.99,0.08,-0.17,-0.91,1.12,1.19
4:10:42,-0.99,0.08,-0.17,-0.28,1.19,1.12
4:10:42,-0.99,0.09,-0.17,0.14,1.19,0.77
4:10:42,-0.98,0.09,-0.17,0.63,0.7,1.05
4:10:42,-0.98,0.09,-0.18,0.77,0.63,0.98
4:10:42,-0.99,0.09,-0.18,0.56,0.77,1.26
4:10:42,-0.99,0.09,-0.17,0.35,0.91,1.05
4:10:42,-0.99,0.08,-0.17,0.14,0.84,0.91
4:10:42,-0.99,0.08,-0.17,-0.14,1.05,0.91
4:10:42,-0.99,0.08,-0.17,-0.35,0.98,0.84
4:10:42,-0.98,0.08,-0.17,-0.21,0.84,1.19
4:10:42,-0.99,0.09,-0.17,0.21,0.91,1.05
4:10:42,-0.99,0.09,-0.17,0.42,1.4,0.91
4:10:42,-0.99,0.09,-0.17,0.49,0.98,1.26
4:10:42,-0.99,0.09,-0.17,0.84,0.56,1.33
4:10:42,-0.99,0.09,-0.17,0.7,0.63,0.98
4:10:42,-0.98,0.09,-0.17,0.42,0.28,1.05
4:10:42,-0.98,0.09,-0.17,0.35,0.56,0.98
4:10:42,-0.98,0.09,-0.17,0.28,0.84,1.33
4:10:42,-0.98,0.09,-0.17,0,1.05,1.12
4:10:42,-0.99,0.1,-0.17,-0.21,1.12,1.05
4:10:42,-0.99,0.09,-0.17,-0.21,1.12,1.54
4:10:42,-0.99,0.09,-0.17,-0.07,1.05,1.68
4:10:42,-0.99,0.09,-0.17,0.07,1.19,1.61
4:10:42,-0.99,0.08,-0.17,-0.07,1.26,1.12
4:10:42,-0.99,0.08,-0.17,-0.7,0.91,1.4
4:10:42,-0.99,0.08,-0.18,-1.19,0.91,0.91
4:10:42,-0.98,0.08,-0.17,-1.05,0.84,1.05
4:10:42,-0.98,0.09,-0.17,-0.77,0.91,1.26
4:10:42,-0.98,0.09,-0.17,-0.63,0.91,0.7
4:10:42,-0.98,0.09,-0.17,-0.14,0.63,1.12
4:10:42,-0.99,0.08,-0.17,0.14,0.63,0.98
4:10:42,-0.99,0.09,-0.18,-0.07,0.91,1.33
4:10:42,-0.99,0.09,-0.18,-0.77,1.12,0.98
4:10:42,-0.99,0.08,-0.17,-0.98,1.19,1.05
4:10:42,-0.99,0.09,-0.17,-0.7,0.63,1.47
4:10:42,-0.99,0.09,-0.16,-0.42,0.56,1.33
4:10:42,-0.99,0.09,-0.17,0.07,0.63,1.47
4:10:42,-0.99,0.08,-0.17,0.35,0.7,1.68
4:10:42,-0.99,0.08,-0.18,0.35,0.7,1.33
4:10:42,-0.99,0.08,-0.18,0.49,0.49,1.61
4:10:42,-0.98,0.09,-0.18,0.28,0.49,1.19
4:10:42,-0.98,0.09,-0.17,-0.07,0.63,1.54
4:10:42,-0.99,0.09,-0.17,-0.35,0.77,1.12
4:10:42,-0.99,0.09,-0.17,-0.14,0.63,1.19
4:10:42,-0.99,0.09,-0.17,0.14,0.49,1.61
4:10:42,-0.99,0.09,-0.17,-0.21,0.49,1.47
4:10:42,-0.99,0.09,-0.17,-0.56,0.35,1.47
