Time,Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z, Label
4:10:12,-0.84,0.06,-0.07,-67.9,-6.72,50.19,
4:10:12,-0.79,0.06,-0.06,-68.95,-1.05,46.76,
4:10:12,-0.75,0.03,-0.08,-59.01,3.01,44.73,
4:10:12,-0.7,0.04,-0.07,-50.33,11.48,37.38,
4:10:12,-0.64,0.02,-0.09,-51.17,22.33,32.2,
4:10:12,-0.6,-0.04,-0.13,-50.54,28.21,22.47,
4:10:12,-0.59,-0.13,-0.16,-42.56,29.4,8.89,
4:10:12,-0.57,-0.25,-0.16,-24.08,28.07,-2.52,
4:10:12,-0.56,-0.35,-0.14,-7.35,26.32,-10.57,
4:10:12,-0.53,-0.4,-0.1,12.74,31.01,-20.72,
4:10:12,-0.53,-0.41,-0.08,30.66,38.43,-30.94,
4:10:12,-0.58,-0.38,-0.08,40.32,46.41,-44.31,
4:10:12,-0.64,-0.33,-0.03,40.25,57.05,-56.98,
4:10:12,-0.73,-0.27,0.02,26.25,66.43,-69.72,
4:10:12,-0.86,-0.15,0.09,1.4,67.76,-76.23,
4:10:12,-1,-0.02,0.19,-32.83,52.99,-72.94,
4:10:12,-1.24,0.09,0.31,-56.14,31.29,-53.69,
4:10:12,-1.31,0.24,0.37,-24.43,27.51,-25.55,
4:10:12,-1.4,0.41,0.29,64.26,35.91,31.01,
4:10:12,-1.21,0.81,0.03,174.93,53.13,124.6,
4:10:12,-1,1.45,-0.23,151.76,76.3,201.11,
4:10:12,-0.93,1.97,-0.4,56.84,26.81,213.85,
4:10:12,-0.78,2.13,0.06,51.59,-15.75,147.91,
4:10:12,-0.62,2.38,0.56,41.23,-4.83,31.36,
4:10:12,-0.52,2.01,0.52,-55.3,22.47,-35.14,
4:10:12,-0.73,0.65,0.06,-100.59,30.73,-22.96,
4:10:12,-0.86,0.34,-0.35,-69.51,24.22,-22.68,
4:10:12,-1.03,0.16,-0.6,-15.26,19.95,-27.16,
4:10:12,-1.1,-0.01,-0.66,43.82,21.28,-26.18,
4:10:12,-1.08,-0.05,-0.42,79.73,28.21,-24.5,
4:10:12,-1.05,0.08,0.07,49.07,41.86,-45.22,
4:10:12,-1.14,0.3,0.66,-166.25,20.93,-101.92,
4:10:12,-1.36,-0.07,0.93,-297.78,-23.73,-160.37,
4:10:12,-1.28,-0.86,0.6,-132.93,23.03,-122.5,
4:10:12,-1.49,-0.57,-0.23,59.57,69.65,-31.15,
4:10:12,-1.62,0.16,-0.46,75.39,116.69,33.18,
4:10:12,-1.89,0.52,-0.79,22.19,126.98,59.71,
4:10:12,-1.9,0.75,-0.86,-33.32,84.91,62.37,
4:10:12,-1.58,0.76,-0.62,-53.27,34.16,39.34,
4:10:12,-1.1,0.55,-0.37,-30.94,15.68,13.37,
4:10:12,-0.73,0.4,-0.22,12.67,13.44,-5.18,
4:10:12,-0.45,0.32,-0.14,42.35,13.58,-25.9,
4:10:12,-0.37,0.2,-0.14,60.06,4.34,-38.57,
4:10:12,-0.35,0.14,-0.15,63.63,-12.32,-36.05,
4:10:12,-0.38,0.1,-0.19,42.14,-38.71,-18.69,
4:10:12,-0.41,0.09,-0.22,21.7,-69.16,0.84,
4:10:12,-0.49,0.13,-0.23,8.47,-86.87,8.26,
4:10:12,-0.6,0.11,-0.29,5.74,-91.35,16.03,
4:10:12,-0.75,0.13,-0.36,6.65,-88.06,24.71,
4:10:12,-0.93,0.1,-0.4,16.59,-72.59,28.21,
4:10:12,-1.17,0,-0.48,66.5,-31.5,15.26,
4:10:12,-1.3,-0.1,-0.55,110.32,5.25,-7.84,
4:10:12,-1.27,-0.17,-0.52,134.26,33.39,-13.79,
4:10:12,-1.14,-0.15,-0.48,112.21,42.84,1.33,
4:10:12,-0.98,-0.06,-0.45,78.96,33.11,14.49,
4:10:12,-0.84,0.02,-0.42,51.66,14.35,17.78,
4:10:12,-0.71,0.06,-0.4,40.32,-3.15,17.43,
4:10:12,-0.66,0.12,-0.41,34.93,-18.83,18.83,
4:10:12,-0.76,0.22,-0.48,35.28,-33.25,12.88,
4:10:12,-0.92,0.28,-0.56,49.7,-46.06,-2.94,
4:10:12,-0.95,0.33,-0.54,75.46,-46.06,-12.18,
4:10:12,-0.94,0.45,-0.43,78.68,-20.65,-17.92,
4:10:12,-0.91,0.46,-0.4,59.15,14,-19.18,
4:10:12,-0.86,0.48,-0.4,27.09,38.78,-21.7,
4:10:12,-0.8,0.47,-0.38,1.47,54.53,-28.98,
4:10:12,-0.75,0.45,-0.39,-15.4,66.15,-34.93,
4:10:12,-0.71,0.45,-0.39,-22.82,75.46,-38.36,
4:10:12,-0.69,0.48,-0.38,-31.43,85.19,-42.98,
4:10:12,-0.68,0.45,-0.38,-32.55,95.27,-44.31,
4:10:12,-0.69,0.41,-0.39,-21.91,104.16,-40.74,
4:10:12,-0.72,0.37,-0.4,-1.61,107.87,-33.95,
4:10:12,-0.78,0.37,-0.39,21.63,104.58,-29.26,
4:10:12,-0.83,0.34,-0.39,44.38,100.31,-21.56,
